id,name,description,output_statements.failure,output_statements.partial,output_statements.success,fix_details.description,fix_details.instructions,fix_details.estimated_date,fix_details.automation_available,created_by,category,metadata.tags,metadata.category,metadata.severity,metadata.operation.name,metadata.operation.logic,metadata.field_path,metadata.connection_id,metadata.resource_type,metadata.expected_value,updated_by,created_at,updated_at,is_deleted
1061,sa_12_5_limitation_of_harm,Verifies compliance with NIST 800-53 SA-12(5) which has been withdrawn and moved to SR-5(2).,Control SA-12(5) has been withdrawn and moved to SR-5(2).,Control SA-12(5) has been withdrawn and moved to SR-5(2).,Control SA-12(5) has been withdrawn and moved to SR-5(2).,"No fix required, control has been withdrawn.",[],None,False,llm_generator,configuration,"[""compliance"", ""nist"", ""sa"", ""aws""]",configuration,low,custom,"# This control has been withdrawn
result = True
",account.limits.max-instances,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T23:02:08.875318""","""2025-08-07T23:02:08.875318""",False
1062,emergency_lighting_essential_functions,Verifies that emergency lighting is provided for areas supporting essential mission and business functions,No mention of emergency lighting for essential areas in repository description,Check partially passed,Emergency lighting is mentioned for areas supporting essential functions,Update the repository description to indicate emergency lighting for essential areas,"[""Edit the repository description field"", ""Add details about emergency lighting for essential mission/business areas""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""pe"", ""github""]",configuration,medium,custom,"result = False
if fetched_value and (""emergency lighting"" in fetched_value.lower() or ""essential mission"" in fetched_value.lower() or ""business functions"" in fetched_value.lower()):
    result = True
",repository_data.basic_info.description,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T23:02:18.735542""","""2025-08-07T23:02:18.735542""",False
1063,emergency_lighting_essential_functions,Verifies that emergency lighting is provided for areas supporting essential mission and business functions.,Emergency lighting is not enabled for instances supporting essential functions.,Check partially passed,Emergency lighting is enabled for instances supporting essential functions.,Enable monitoring and emergency lighting for EC2 instances supporting essential functions.,"[""Identify instances supporting essential mission and business functions."", ""Enable detailed monitoring for those instances in the AWS console or via AWS CLI.""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""pe"", ""aws""]",configuration,medium,custom,"result = False
if fetched_value == ""enabled"":
    result = True
",instances.monitoring,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T23:02:28.677299""","""2025-08-07T23:02:28.677299""",False
1064,perform_preventive_maintenance,Validates that preventive maintenance is performed on specified system components at defined intervals,Preventive maintenance is not scheduled for EC2 instances,Check partially passed,Preventive maintenance is scheduled for EC2 instances,Schedule preventive maintenance for EC2 instances,"[""Identify critical system components requiring maintenance"", ""Define maintenance windows and intervals"", ""Configure instance scheduling to apply maintenance""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""ma"", ""aws""]",configuration,medium,custom,"result = False
if fetched_value == 'scheduled':
    result = True
",instances.instance_lifecycle,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T23:02:50.664675""","""2025-08-07T23:02:50.664675""",False
1065,github_predictive_maintenance_check,Verifies if predictive maintenance is performed on defined system components at specified intervals,Predictive maintenance is not performed on defined components at specified intervals,Check partially passed,Predictive maintenance is performed on defined components at specified intervals,Implement predictive maintenance processes for system components,"[""Identify critical system components requiring predictive maintenance"", ""Define maintenance schedules and intervals based on component characteristics"", ""Implement monitoring and analysis to detect potential failures"", ""Perform maintenance activities proactively before failures occur""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""ma"", ""github""]",configuration,medium,custom,"result = False
predictive_maintenance_topic = ""predictive-maintenance""
if predictive_maintenance_topic in fetched_value:
  result = True
",repository_data.metadata.topics,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T23:03:04.176002""","""2025-08-07T23:03:04.176002""",False
1066,perform_predictive_maintenance,Validates that predictive maintenance is performed on specified system components at defined intervals,Predictive maintenance is not performed on EC2 instances at defined intervals,Check partially passed,Predictive maintenance is performed on EC2 instances at defined intervals,Configure predictive maintenance for EC2 instances,"[""Identify critical system components requiring predictive maintenance"", ""Define maintenance schedules and intervals for those components"", ""Implement automated maintenance processes or schedule manual maintenance tasks""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""ma"", ""aws""]",configuration,medium,custom,"result = False
if fetched_value == 'scheduled':
    result = True
",instances.instance_lifecycle,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T23:03:12.534499""","""2025-08-07T23:03:12.534499""",False
1067,automated_predictive_maintenance_support,Verifies if predictive maintenance data is transferred to a maintenance management system using automated mechanisms,Predictive maintenance data is not transferred automatically to a maintenance system,Check partially passed,Predictive maintenance data is transferred to a maintenance system using automated mechanisms,Set up automated transfer of predictive maintenance data,"[""Integrate repository with a maintenance management system"", ""Configure automated data transfer for predictive maintenance topics""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""ma"", ""github""]",configuration,medium,custom,"result = False
if 'predictive-maintenance' in fetched_value:
  result = True
",repository_data.metadata.topics,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T23:03:22.253093""","""2025-08-07T23:03:22.253093""",False
1068,restrict_field_maintenance,Verify that field maintenance is restricted or prohibited on systems or components outside trusted facilities,Field maintenance is allowed outside trusted facilities,Check partially passed,Field maintenance is restricted to trusted internal facilities,Restrict repository visibility to internal,"[""Navigate to repository settings"", ""Change visibility to 'Internal'""]",2023-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""ma"", ""github""]",configuration,high,custom,"result = False
trusted_facilities = ['internal']
if fetched_value in trusted_facilities:
    result = True
",repository_data.metadata.visibility,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T23:03:38.763094""","""2025-08-07T23:03:38.763094""",False
1069,restrict_field_maintenance,Validates that field maintenance is restricted or prohibited on defined systems or components to trusted maintenance facilities.,Field maintenance is not restricted to trusted facilities.,Check partially passed,Field maintenance is restricted to trusted facilities.,Restrict field maintenance activities to trusted facilities only.,"[""Define the list of trusted maintenance facilities"", ""Configure system settings to only allow maintenance from those facilities""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""ma-7"", ""aws""]",configuration,high,custom,"result = False
trusted_facilities = ['aws:ec2:us-east-1']
if fetched_value and fetched_value in trusted_facilities:
    result = True
",instances.instance_lifecycle,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T23:03:50.420598""","""2025-08-07T23:03:50.420598""",False
107,verify_formal_indoctrination,Verifies that individuals accessing systems processing classified information are formally indoctrinated for all relevant information types.,Individuals may not be formally indoctrinated for accessing classified information on this instance.,Check partially passed,Individuals are formally indoctrinated for accessing classified information on this instance.,Ensure all personnel accessing classified data are formally indoctrinated.,"[""Identify individuals requiring indoctrination based on data access"", ""Conduct formal indoctrination process for those individuals"", ""Update instance profile naming to indicate indoctrination status""]",2024-06-30,False,llm_generator,access_control,"[""compliance"", ""nist"", ""ps"", ""aws""]",access_control,high,custom,"result = False
if fetched_value:
  # Check if instance profile ARN indicates formal indoctrination
  # Implement logic to verify indoctrination based on ARN
  if ""indoctrinated"" in fetched_value.lower():
    result = True
",instances.iam_instance_profile.Arn,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T11:38:27.010636""","""2025-08-07T11:38:27.010636""",False
1070,restrict_media_storage_access,Verifies that access to media storage areas is restricted and logged using automated mechanisms,Access to media storage is not properly restricted or logged,Check partially passed,Access to media storage is restricted and logged using automated mechanisms,Enable advanced security features to restrict and log media storage access,"[""Navigate to repository settings > Code security and analysis"", ""Enable GitHub Advanced Security, Secret scanning, and Push protection""]",2024-06-30,True,llm_generator,access_control,"[""compliance"", ""nist"", ""mp"", ""github""]",access_control,medium,custom,"result = False
if fetched_value.advanced_security_enabled and fetched_value.secret_scanning_enabled and fetched_value.push_protection_enabled:
  result = True
",security_data.security_analysis,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T23:03:58.689616""","""2025-08-07T23:03:58.689616""",False
1071,github_sa_12_8_compliance,Verify compliance with NIST 800-53 SA-12(8) - Supply Chain Protection | Use of All-source Intelligence (Withdrawn),"Check failed: Control SA-12(8) withdrawn, no validation required.","Check passed: Control SA-12(8) withdrawn, no validation required.","Check passed: Control SA-12(8) withdrawn, no validation required.","No fix required, control withdrawn.",[],None,False,llm_generator,configuration,"[""compliance"", ""nist"", ""sa"", ""github""]",configuration,low,custom,"result = True  # Control withdrawn, always compliant
",repository_data.basic_info.description,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T23:04:16.199313""","""2025-08-07T23:04:16.199313""",False
1072,aws_mp_6_8_remote_purge_wipe_capability,Verifies the capability to remotely purge or wipe information from assigned systems or components under defined conditions.,Remote purge/wipe capability is not enabled for assigned systems/components.,Check partially passed,Remote purge/wipe capability is enabled for assigned systems/components.,Enable remote purge/wipe capability for assigned systems/components.,"[""Identify systems/components requiring remote purge/wipe capability."", ""Configure systems to allow remote purging/wiping of data."", ""Test and validate remote purge/wipe functionality.""]",2024-06-30,True,llm_generator,data_protection,"[""compliance"", ""nist"", ""mp"", ""aws""]",data_protection,high,custom,"result = False
if fetched_value:
  # Check if remote purge/wipe capability exists
  if 'remote-purge-wipe' in fetched_value:
    result = True
",account.limits,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T23:05:17.046146""","""2025-08-07T23:05:17.046146""",False
1073,protect_integrity_read_only_media,Verifies that the integrity of information is protected prior to storage on read-only media and the media is controlled after recording.,Integrity protection for read-only media is not enabled.,Check partially passed,Integrity protection for read-only media is enabled.,Enable vulnerability alerts and dependency graph to protect integrity on read-only media.,"[""Navigate to the repository settings"", ""Under 'Security & analysis', enable 'Dependency graph' and 'Vulnerability alerts'""]",2024-06-30,True,llm_generator,data_protection,"[""compliance"", ""nist"", ""sc"", ""github""]",data_protection,high,custom,"result = False
if fetched_value:
  result = True
",security_data.dependency_graph.has_vulnerability_alerts_enabled,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T23:05:25.417940""","""2025-08-07T23:05:25.417940""",False
1074,protect_integrity_read_only_media,Verifies that the integrity of information is protected prior to storage on read-only media and the media is controlled after recording.,"Unencrypted read-only media found, integrity not protected.",No read-only media instances found.,Integrity of information on read-only media is protected through encryption.,Encrypt EBS volumes used as read-only media.,"[""Identify unencrypted EBS volumes of type 'io1' attached to EC2 instances."", ""Create encrypted copies of the volumes and attach to instances."", ""Detach and delete original unencrypted volumes.""]",2024-06-30,True,llm_generator,data_protection,"[""compliance"", ""nist"", ""sc"", ""aws""]",data_protection,high,custom,"result = False
read_only_media_found = False
for block_device in fetched_value:
  if block_device.get('Ebs', {}).get('VolumeType') == 'io1':
    read_only_media_found = True
    if block_device.get('Ebs', {}).get('Encrypted'):
      result = True
    else:
      result = False
      break
if not read_only_media_found:
  result = True
",instances.block_device_mappings,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T23:05:39.408252""","""2025-08-07T23:05:39.408252""",False
1075,prohibit_sanitization_resistant_media,Verifies that the repository does not use sanitization-resistant media,Repository uses sanitization-resistant media which is prohibited,Check partially passed,Repository does not use sanitization-resistant media,Remove any sanitization-resistant media from the repository,"[""Review repository topics and remove any related to optical disks, blu-rays, CDs, DVDs etc."", ""Commit changes to remove sanitization-resistant media references""]",2024-06-30,False,llm_generator,configuration,"[""compliance"", ""nist"", ""mp"", ""github""]",configuration,medium,custom,"result = False
sanitization_resistant_topics = ['optical-disk', 'blu-ray', 'cd', 'dvd']
if fetched_value:
  for topic in fetched_value:
    if topic.lower() in sanitization_resistant_topics:
      break
  else:
    result = True
",repository_data.metadata.topics,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T23:05:49.944000""","""2025-08-07T23:05:49.944000""",False
1076,prohibit_sanitization_resistant_media,Verifies that sanitization-resistant media is prohibited from use in AWS EC2 instances.,Sanitization-resistant (Provisioned IOPS SSD) EBS volumes detected.,Check partially passed,No sanitization-resistant (Provisioned IOPS SSD) EBS volumes found.,Replace any Provisioned IOPS SSD (io1) volumes with gp2 or other supported volume types.,"[""Identify instances using io1 volumes from the failed check output."", ""Stop the affected instances and detach the io1 volumes."", ""Create new gp2 or other supported volumes from snapshots of the io1 volumes."", ""Attach the new volumes and start the instances.""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""mp"", ""aws""]",configuration,high,custom,"result = True
for instance in fetched_value:
  for block_device in instance.block_device_mappings:
    if block_device.ebs.volume_type == 'io1':
      result = False
      break
",instances.block_device_mappings,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T23:06:01.435800""","""2025-08-07T23:06:01.435800""",False
1077,authorize_physical_access_by_role,Verifies that physical access to the facility where the system resides is authorized based on position or role.,Physical access to the repository is not restricted based on role or position.,Check partially passed,Physical access to the repository is restricted based on role or position.,Change the repository visibility to 'private' to restrict physical access based on role.,"[""Navigate to the repository settings"", ""Under 'Danger Zone', click 'Make this repository private'""]",2024-06-30,True,llm_generator,access_control,"[""compliance"", ""nist"", ""pe"", ""github""]",access_control,medium,custom,"result = False
if fetched_value == 'private':
  result = True
",repository_data.metadata.visibility,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T23:06:31.660295""","""2025-08-07T23:06:31.660295""",False
1078,authorize_physical_access_by_role,Verifies that physical access to the facility where the system resides is authorized based on position or role.,Physical access to the facility is not properly restricted by role or position.,Check partially passed,Physical access to the facility is authorized based on the assigned instance role.,Restrict physical access by assigning approved IAM roles to EC2 instances.,"[""Identify roles or positions approved for physical access to the facility."", ""Create IAM roles with those permissions and assign them to relevant EC2 instances.""]",2024-06-30,True,llm_generator,access_control,"[""compliance"", ""nist"", ""pe"", ""aws""]",access_control,medium,custom,"result = False
if fetched_value:
  # Check if the instance profile ARN matches approved roles/positions for physical access
  approved_roles = [""arn:aws:iam::<account_id>:role/PhysicalAccessRole1"", ""arn:aws:iam::<account_id>:role/PhysicalAccessRole2""]
  if any(role in fetched_value for role in approved_roles):
    result = True
",instances.iam_instance_profile.Arn,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T23:06:47.089851""","""2025-08-07T23:06:47.089851""",False
108,personnel_termination_compliance,Verifies compliance with NIST 800-53 PS-4 requirements for personnel termination,"Repository is public, non-compliant with PS-4 requirement to retain access",Check partially passed,"Repository is private, compliant with PS-4 requirement to retain access",Make repository private to comply with PS-4,"[""Navigate to repository settings"", ""Change visibility to 'Private'""]",2023-06-30,True,llm_generator,access_control,"[""compliance"", ""nist"", ""ps"", ""github""]",access_control,high,custom,"result = False
if fetched_value == 'private':
    result = True
",repository_data.metadata.visibility,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T11:38:34.604750""","""2025-08-07T11:38:34.604750""",False
109,correlate_events_from_multiple_sources,Verify that log data is transferred to centralized log servers and correlated using SIEM or threat intelligence,Log data is not centralized or correlated from multiple sources,Check partially passed,Log data is centralized and correlated from multiple sources using advanced security features,"Enable advanced security, secret scanning, and push protection features","[""Navigate to repository settings > Code security and analysis"", ""Enable GitHub Advanced Security, Secret scanning, and Secret scanning on push protection""]",2024-06-30,True,llm_generator,monitoring,"[""compliance"", ""nist"", ""de.ae"", ""github"", ""logging"", ""monitoring""]",monitoring,medium,custom,"result = False
if fetched_value:
  if fetched_value.security_and_analysis.advanced_security == 'enabled' and \
     fetched_value.security_and_analysis.secret_scanning == 'enabled' and \
     fetched_value.security_and_analysis.secret_scanning_push_protection == 'enabled':
    result = True
",security_data.dependency_graph.has_vulnerability_alerts_enabled,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T11:39:39.332517""","""2025-08-07T11:39:39.332517""",False
11,github_media_destruction_compliance,Verifies that media sanitization and destruction controls are implemented for the GitHub repository,Media sanitization and destruction controls are not implemented or have gaps,Check partially passed,Media sanitization and destruction controls are properly implemented,Enable advanced security features for media sanitization and destruction,"[""Enable GitHub Advanced Security features like secret scanning, dependency review"", ""Configure push protection rules to prevent accidental pushes with sensitive data""]",2024-06-30,True,llm_generator,data_protection,"[""compliance"", ""nist"", ""mp"", ""github""]",data_protection,medium,custom,"result = False
if fetched_value.advanced_security_enabled and fetched_value.secret_scanning_enabled and fetched_value.push_protection_enabled and fetched_value.dependency_review_enabled:
  result = True
",security_data.security_analysis,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T06:30:18.120195""","""2025-08-07T06:30:18.120195""",False
110,integrate_cyber_threat_intelligence,Verify that cyber threat intelligence and contextual information are integrated into security analysis,Cyber threat intelligence and contextual information are not fully integrated into security analysis,Check partially passed,Cyber threat intelligence and contextual information are integrated into security analysis,Enable advanced security features to integrate threat intelligence,"[""Enable GitHub Advanced Security features like CodeQL, Dependabot, and secret scanning"", ""Configure dependency review to analyze vulnerabilities in dependencies""]",2024-06-30,True,llm_generator,monitoring,"[""compliance"", ""nist"", ""de.ae"", ""github"", ""security""]",monitoring,high,custom,"result = False
if fetched_value.advanced_security_enabled and fetched_value.secret_scanning_enabled and fetched_value.push_protection_enabled and fetched_value.dependency_review_enabled:
  result = True
",security_data.security_analysis,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T11:39:58.052246""","""2025-08-07T11:39:58.052246""",False
111,runtime_application_self_protection,Verifies if runtime application self-protection controls are implemented,Runtime application self-protection controls are not fully enabled,Check partially passed,Runtime application self-protection controls are enabled,Enable advanced security features for runtime protection,"[""Go to repository settings > Code security and analysis"", ""Enable GitHub Advanced Security, Secret scanning, Dependency review""]",2024-06-30,True,llm_generator,data_protection,"[""compliance"", ""nist"", ""si"", ""github""]",data_protection,high,custom,"result = False
if fetched_value.advanced_security_enabled and fetched_value.secret_scanning_enabled and fetched_value.push_protection_enabled and fetched_value.dependency_review_enabled:
  result = True
",security_data.security_analysis,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T11:40:20.857455""","""2025-08-07T11:40:20.857455""",False
112,implement_runtime_application_self_protection,Validates that runtime application self-protection controls are implemented as defined by the organization,Runtime application self-protection controls are not implemented,Check partially passed,Runtime application self-protection controls are implemented,Implement organization-defined controls for application self-protection at runtime,"[""Define controls for runtime application self-protection based on risk assessment"", ""Configure EC2 instances to use Spot instances or implement other self-protection mechanisms""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""si"", ""aws""]",configuration,medium,custom,"result = False
if fetched_value == 'spot':
  # Spot instances have runtime self-protection enabled
  result = True
",instances.instance_lifecycle,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T11:40:28.940177""","""2025-08-07T11:40:28.940177""",False
113,personnel_transfer_compliance,Verifies compliance with NIST 800-53 PS-5 Personnel Transfer requirements,"Repository visibility is public, violating access control requirements",Check partially passed,"Repository visibility is set to private, ensuring access is limited",Change repository visibility to private,"[""Navigate to repository settings"", ""Under 'Danger Zone', change visibility to 'Private'""]",2023-06-30,True,llm_generator,access_control,"[""compliance"", ""nist"", ""ps"", ""github""]",access_control,medium,custom,"result = False
if fetched_value == ""private"":
  result = True
",repository_data.metadata.visibility,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T11:41:03.611251""","""2025-08-07T11:41:03.611251""",False
114,supply_chain_controls_processes,Verify that supply chain controls and processes are established to identify and address weaknesses or deficiencies in the supply chain elements and processes of the GitHub repository.,Check failed: The repository description does not mention supply chain controls and processes.,Check partially passed: The repository description partially addresses supply chain controls and processes.,Check passed: The repository description mentions supply chain controls and processes.,Update the repository description to include information about supply chain controls and processes.,"[""Edit the repository description in the GitHub repository settings."", ""Add details about the supply chain controls and processes established for the repository.""]",2024-06-30,False,llm_generator,configuration,"[""compliance"", ""nist"", ""sr"", ""github""]",configuration,medium,custom,"result = False
if fetched_value and ""supply chain"" in fetched_value.lower():
    result = True
",repository_data.basic_info.description,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T11:41:25.625553""","""2025-08-07T11:41:25.625553""",False
115,maintain_data_inventory,Verify that inventories of designated data types and corresponding metadata are maintained,"No topics related to designated data types found, data inventory may be incomplete",Check partially passed,Designated data types and metadata are tracked using repository topics,Add relevant topics to the repository to track designated data types,"[""Identify data types of interest in the repository (PII, PHI, financials, IP, operational data)"", ""Add corresponding topics to the repository metadata""]",2024-06-30,True,llm_generator,data_protection,"[""compliance"", ""nist"", ""id.am"", ""github"", ""data-inventory""]",data_protection,medium,custom,"result = False
designated_data_types = ['pii', 'phi', 'financial', 'intellectual-property', 'operational-data']
if fetched_value:
  for topic in fetched_value:
    if any(data_type in topic.lower() for data_type in designated_data_types):
      result = True
      break
",repository_data.metadata.topics,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T11:41:44.995672""","""2025-08-07T11:41:44.995672""",False
116,verify_access_agreements,"Verify that access agreements are developed, reviewed, and signed for organizational systems",No access agreements found for this public repository,Check partially passed,Access agreements are in place for this private repository,Make the repository private and implement access agreements,"[""Change repository visibility to private in repository settings"", ""Develop and document access agreements for the repository"", ""Require users to sign agreements before granting access""]",2023-12-31,False,llm_generator,access_control,"[""compliance"", ""nist"", ""ps"", ""github""]",access_control,high,custom,"result = False
if fetched_value == 'private':
    result = True
else:
    result = False
",repository_data.metadata.visibility,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T11:42:31.087681""","""2025-08-07T11:42:31.087681""",False
117,github_cyber_threat_intelligence,Verify that cyber threat intelligence is received from information sharing forums and sources,Check failed: No evidence of cyber threat intelligence ingestion from external sources,Check partially passed: Some cyber threat intelligence sources configured but not comprehensive,Check passed: Cyber threat intelligence is received from information sharing forums and sources,Enable advanced security features to ingest cyber threat intelligence,"[""Enable GitHub Advanced Security features like CodeQL, Dependabot alerts, and secret scanning"", ""Configure integrations with external threat intelligence feeds""]",2024-06-30,True,llm_generator,monitoring,"[""compliance"", ""nist"", ""id.ra"", ""github""]",monitoring,medium,custom,"result = False
if fetched_value.advanced_security_enabled or fetched_value.secret_scanning_enabled or fetched_value.push_protection_enabled or fetched_value.dependency_review_enabled:
  result = True
",security_data.security_analysis,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T11:43:24.013384""","""2025-08-07T11:43:24.013384""",False
118,github_ac_15_automated_marking,Verify compliance with NIST 800-53 AC-15 - Automated Marking control,"Check failed: Repository visibility is not public, automated marking may be restricted",Check partially passed,"Check passed: Repository visibility is set to public, allowing automated marking",Change the repository visibility to public,"[""Navigate to the repository settings"", ""Under 'Danger Zone', click 'Make public'""]",2023-06-30,True,llm_generator,access_control,"[""compliance"", ""nist"", ""ac"", ""github""]",access_control,low,custom,"result = False
if fetched_value == ""public"":
  result = True
",repository_data.metadata.visibility,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T11:44:17.281220""","""2025-08-07T11:44:17.281220""",False
119,ac_15_automated_marking_withdrawn,Verifies compliance with NIST 800-53 AC-15 (Withdrawn - Incorporated into MP-7),AC-15 is withdrawn and incorporated into MP-7.,AC-15 is withdrawn and incorporated into MP-7.,AC-15 is withdrawn and incorporated into MP-7.,"No fix required, control is withdrawn.",[],None,False,llm_generator,access_control,"[""compliance"", ""nist"", ""ac"", ""aws""]",access_control,low,custom,"result = True
",instances.instance_lifecycle,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T11:44:26.221660""","""2025-08-07T11:44:26.221660""",False
12,aws_mp_6_6_media_destruction_compliance,Verifies that media sanitization procedures include destruction of media for AWS resources.,Media destruction procedures are not configured for AWS EC2 instances.,Check partially passed,Media destruction procedures are in place for AWS EC2 instances.,Configure AWS EC2 instances to delete EBS volumes on termination.,"[""Modify the instance block device mapping to set DeleteOnTermination=true for EBS volumes."", ""Terminate and recreate instances with the updated block device mapping.""]",2024-12-31,True,llm_generator,data_protection,"[""compliance"", ""nist"", ""mp"", ""aws""]",data_protection,medium,custom,"result = False
if fetched_value:
  for mapping in fetched_value:
    if mapping.get('Ebs', {}).get('DeleteOnTermination', False):
      result = True
      break
",instances.block_device_mappings,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T06:30:27.876637""","""2025-08-07T06:30:27.876637""",False
120,github_position_descriptions_compliance,Verify that security and privacy roles and responsibilities are incorporated into repository descriptions,Check failed: Repository description does not mention security or privacy roles and responsibilities,Check partially passed: Repository description partially covers security or privacy roles and responsibilities,Check passed: Repository description incorporates security and privacy roles and responsibilities,Update the repository description to include security and privacy roles and responsibilities,"[""Edit the repository settings"", ""Modify the 'Description' field to mention security and privacy roles""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""ps"", ""github""]",configuration,medium,custom,"result = False
if fetched_value and (""security"" in fetched_value.lower() or ""privacy"" in fetched_value.lower()):
    result = True
",repository_data.basic_info.description,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T11:45:17.453599""","""2025-08-07T11:45:17.453599""",False
121,detect_water_damage_automation,Verify the presence of automated mechanisms to detect water near the system and alert designated personnel,No automated water damage detection and alerting mechanisms found,Partial or incomplete water damage detection and alerting automation,Automated water damage detection and alerting mechanisms are enabled,Enable automated water damage detection and alerting,"[""Integrate water sensors near critical systems"", ""Configure alerting to designated personnel when water is detected""]",2024-06-30,True,llm_generator,monitoring,"[""compliance"", ""nist"", ""pe"", ""github""]",monitoring,high,custom,"result = False
if fetched_value and ""water damage"" in fetched_value.lower():
  result = True
",security_data.dependency_graph.security_and_analysis.advanced_security,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T11:45:35.689479""","""2025-08-07T11:45:35.689479""",False
122,restrict_change_access,Verify that physical and logical access restrictions are defined and enforced for changes to the repository,Check failed: Web commit signoff is not required for changes to the repository,Check partially passed,Check passed: Web commit signoff is required for changes to the repository,Enable web commit signoff requirement for the repository,"[""Navigate to the repository settings"", ""Under 'Code security and analysis', enable 'Web commit signoff required'""]",2024-06-30,True,llm_generator,access_control,"[""compliance"", ""nist"", ""cm"", ""github""]",access_control,medium,custom,"result = False
if fetched_value:
  result = True
",repository_data.metadata.web_commit_signoff_required,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T11:45:51.189529""","""2025-08-07T11:45:51.189529""",False
123,prevent_unauthorized_info_transfer,Verifies procedures are in place to prevent unauthorized information transfer via shared resources when processing switches between security levels,"Repository visibility is public, risking unauthorized info transfer via shared resources",Check partially passed,"Repository visibility is set to private, preventing unauthorized info transfer",Change repository visibility to private,"[""Navigate to repository settings"", ""Under 'Danger Zone', change visibility to 'Private'""]",2023-06-30,True,llm_generator,data_protection,"[""compliance"", ""nist"", ""sc"", ""github""]",data_protection,high,custom,"result = False
if fetched_value == 'private':
    result = True
",repository_data.metadata.visibility,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T11:46:14.033150""","""2025-08-07T11:46:14.033150""",False
